application_date|zone|date_2|zone_2|date_3|zone_3|date_awarded|zone_awarded
10/19/2023|Core_Enchantment_Zone|10/25/2023|Core_Enchantment_Zone|10/26/2023|Core_Enchantment_Zone|10/25/2023|Core_Enchantment_Zone
7/4/2023|Core_Enchantment_Zone|7/5/2023|Core_Enchantment_Zone|7/5/2023|Colchuck_Zone||
8/3/2023|Core_Enchantment_Zone|8/16/2023|Core_Enchantment_Zone|9/6/2023|Colchuck_Zone||
8/11/2023|Core_Enchantment_Zone|8/25/2023|Core_Enchantment_Zone|9/1/2023|Core_Enchantment_Zone||
9/6/2023|Core_Enchantment_Zone||||||
7/26/2023|Colchuck_Zone||||||
7/1/2023|Core_Enchantment_Zone|7/5/2023|Core_Enchantment_Zone|7/7/2023|Core_Enchantment_Zone||
6/3/2023|Colchuck_Zone|6/10/2023|Stuart_Zone|9/9/2023|Stuart_Zone||
9/14/2023|Core_Enchantment_Zone|10/12/2023|Core_Enchantment_Zone|10/26/2023|Core_Enchantment_Zone|10/26/2023|Core_Enchantment_Zone
8/3/2023|Core_Enchantment_Zone|8/11/2023|Core_Enchantment_Zone|8/24/2023|Core_Enchantment_Zone||
8/10/2023|Core_Enchantment_Zone|8/17/2023|Core_Enchantment_Zone|8/30/2023|Core_Enchantment_Zone||
7/27/2023|Colchuck_Zone|7/23/2023|Colchuck_Zone|7/26/2023|Colchuck_Zone||
7/31/2023|Core_Enchantment_Zone|8/28/2023|Core_Enchantment_Zone|7/17/2023|Core_Enchantment_Zone||
9/15/2023|Core_Enchantment_Zone|9/15/2023|Colchuck_Zone|9/22/2023|Colchuck_Zone||
8/18/2023|Core_Enchantment_Zone|8/24/2023|Core_Enchantment_Zone|8/31/2023|Core_Enchantment_Zone||
9/18/2023|Core_Enchantment_Zone|9/19/2023|Core_Enchantment_Zone|9/20/2023|Core_Enchantment_Zone||
9/12/2023|Core_Enchantment_Zone|9/13/2023|Core_Enchantment_Zone||||
7/7/2023|Core_Enchantment_Zone|6/30/2023|Colchuck_Zone|7/23/2023|Core_Enchantment_Zone||
7/9/2023|Core_Enchantment_Zone|7/10/2023|Core_Enchantment_Zone|7/16/2023|Core_Enchantment_Zone||
9/5/2023|Core_Enchantment_Zone|9/5/2023|Core_Enchantment_Zone|8/30/2023|Core_Enchantment_Zone||
7/10/2023|Core_Enchantment_Zone|7/24/2023|Stuart_Zone|9/4/2023|Colchuck_Zone||
7/5/2023|Core_Enchantment_Zone|6/21/2023|Core_Enchantment_Zone|7/26/2023|Core_Enchantment_Zone||
9/1/2023|Core_Enchantment_Zone|9/14/2023|Snow_Zone|8/24/2023|Snow_Zone||
8/14/2023|Snow_Zone|10/6/2023|Snow_Zone|9/23/2023|Snow_Zone||
7/15/2023|Core_Enchantment_Zone|8/5/2023|Core_Enchantment_Zone|8/12/2023|Core_Enchantment_Zone||
8/19/2023|Core_Enchantment_Zone|8/20/2023|Core_Enchantment_Zone|8/21/2023|Core_Enchantment_Zone||
9/1/2023|Core_Enchantment_Zone|8/31/2023|Snow_Zone|9/8/2023|Snow_Zone||
9/20/2023|Core_Enchantment_Zone|9/21/2023|Core_Enchantment_Zone|9/22/2023|Core_Enchantment_Zone||
8/4/2023|Core_Enchantment_Zone|8/4/2023|Colchuck_Zone|7/28/2023|Core_Enchantment_Zone||
9/8/2023|Stuart_Zone|8/18/2023|Eightmile|8/25/2023|Core_Enchantment_Zone||
8/2/2023|Stuart_Zone|8/7/2023|Core_Enchantment_Zone|8/16/2023|Snow_Zone||
